id,Consent_000_RAW,Consent_001_RAW,CRS_01_RAW,CRS_02_RAW,CRS_03_RAW,CRS_04_RAW,CRS_05_RAW,CRS_06_RAW,CRS_07_RAW,CRS_08_RAW,CRS_09_RAW,CRS_10_RAW,CRS_11_RAW,CRS_12_RAW,CRS_13_RAW,CRS_14_RAW,CRS_15_RAW,CRS_16_RAW,CRS_17_RAW,CRS_18_RAW,CRS_19_RAW,CRS_20_RAW,Goodbye_001_RAW,MDDF_01_RAW,MDDF_02_RAW,MDDF_03_RAW,MDDF_04_RAW,MDDF_05_RAW,MDDF_06_RAW,MDDF_07_RAW,MDDF_08_RAW,MDDF_09_RAW,MDDF_10_RAW,MDDF_11_RAW,MDDF_12_RAW,MDDF_13_RAW,MDDF_14_RAW,MDDF_15_RAW,MDDF_16_RAW,MDDF_17_RAW,MDDF_18_RAW,MDDF_19_RAW,MDDF_20_RAW,MDDF_21_RAW,MDDF_22_RAW,MDDF_23_RAW,MDDF_24_RAW,MDDF_25_RAW,MDDF_26_RAW,MDDF_27_RAW,MDDF_28_RAW,MDDF_29_RAW,MDDF_30_RAW,MDDF_31_RAW,MDDF_32_RAW,MDDF_33_RAW,MDDF_34_RAW,MDDF_35_RAW,MDDF_36_RAW,MDDF_37_RAW,MDDF_38_RAW,MDDF_39_RAW,MDDF_40_RAW,MDDF_41_RAW,MDDF_42_RAW,MDDF_43_RAW,MDDF_44_RAW,MDDF_45_RAW,MDDF_46_RAW,MDDF_47_RAW,MDDF_48_RAW,MDDF_49_RAW,MDDF_50_RAW,MDDF_51_RAW,MDDF_52_RAW,MDDF_53_RAW,MDDF_54_RAW,MDDF_55_RAW,MDDF_56_RAW,MDDF_57_RAW,MDDF_58_RAW,MDDF_59_RAW,MDDF_60_RAW,MDDF_61_RAW,MDDF_62_RAW,MDDF_63_RAW
1,"",acepto participar,Ocasionalmente,Mucho,A menudo,Rara vez,A menudo,Nunca,A menudo,Nada,Algo,Algo,Demasiado,Mucho,Ocasionalmente,Nunca,Ocasionalmente,Demasiado,Mucho,A menudo,Nunca,Nunca,jbd2uzf26ebnr3uct9bh,Un poco adecuado,Si,6,Medianamente inadecuado,Si,2,Un poco adecuado,Si,3,Medianamente inadecuado,Si,1,Altamente adecuado,No,,Poco inadecuado,Si,1,Sin opinion,Si,1,Poco inadecuado,Si,5,Medianamente adecuado,Si,2,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,
10,"",acepto participar,Muy a menudo,Mucho,Nunca,Ocasionalmente,Nunca,Muy a menudo,Muy a menudo,Algo,Nada,Un poco,Mucho,Un poco,Ocasionalmente,Ocasionalmente,Muy a menudo,Un poco,Algo,Ocasionalmente,Muy a menudo,Muy a menudo,to0a83jgd0sly990pz2k,Poco inadecuado,No,,Medianamente inadecuado,Si,1,Muy inadecuado,Si,7,Medianamente inadecuado,Si,3,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,3,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,
11,"",acepto participar,Nunca,Mucho,Nunca,Ocasionalmente,Ocasionalmente,Muy a menudo,A menudo,Algo,Nada,Algo,Demasiado,Mucho,A menudo,Nunca,Nunca,Un poco,Un poco,Rara vez,A menudo,Ocasionalmente,9l0g27yha117cda1ebhk,Medianamente inadecuado,Si,3,Un poco adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Medianamente adecuado,Si,2,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
12,"",acepto participar,A menudo,Nada,Ocasionalmente,Nunca,Muy a menudo,Muy a menudo,Ocasionalmente,Nada,Un poco,Mucho,Un poco,Algo,Ocasionalmente,Muy a menudo,Rara vez,Algo,Algo,Muy a menudo,Muy a menudo,Muy a menudo,0haoohelgs7cluojdc4l,Poco inadecuado,No,,Muy inadecuado,Si,7,Muy inadecuado,Si,2,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Un poco adecuado,Si,7,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
13,"",acepto participar,A menudo,Nada,Ocasionalmente,Ocasionalmente,Muy a menudo,A menudo,Ocasionalmente,Nada,Algo,Demasiado,Mucho,Mucho,Nunca,Nunca,Rara vez,Un poco,Un poco,A menudo,Ocasionalmente,A menudo,sg0cqglvv1ozgghj1x4y,Altamente adecuado,No,,Un poco adecuado,No,,Muy inadecuado,Si,2,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Un poco adecuado,Si,7,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
14,"",acepto participar,Nunca,Algo,Nunca,Muy a menudo,Muy a menudo,Ocasionalmente,Nunca,Un poco,Mucho,Un poco,Algo,Algo,Muy a menudo,Rara vez,Ocasionalmente,Algo,Demasiado,Muy a menudo,Muy a menudo,Muy a menudo,fgwcwwzg1by5yav145nr,Medianamente inadecuado,Si,1,Altamente adecuado,No,,Altamente adecuado,No,,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,
15,"",acepto participar,Nunca,Algo,Ocasionalmente,Muy a menudo,A menudo,Ocasionalmente,Nunca,Algo,Demasiado,Mucho,Mucho,Nada,Nunca,Rara vez,Rara vez,Un poco,Mucho,Ocasionalmente,A menudo,Nunca,gwbeg6ykjtcp04dv9knc,Poco inadecuado,Si,2,Medianamente adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,7,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
16,"",acepto participar,Ocasionalmente,Nada,Muy a menudo,Muy a menudo,Ocasionalmente,Nunca,Rara vez,Mucho,Un poco,Algo,Algo,Demasiado,Rara vez,Ocasionalmente,Ocasionalmente,Demasiado,Demasiado,Muy a menudo,Muy a menudo,Rara vez,4boc2x5s7l7n0m7ndqed,Muy inadecuado,Si,7,Medianamente inadecuado,Si,3,Poco inadecuado,Si,5,Medianamente adecuado,Si,2,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Altamente adecuado,Si,2,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,
17,"",acepto participar,Ocasionalmente,Algo,Muy a menudo,A menudo,Ocasionalmente,Nunca,Ocasionalmente,Demasiado,Mucho,Mucho,Nada,Nada,Rara vez,Rara vez,Rara vez,Mucho,Algo,A menudo,Nunca,Muy a menudo,wv0y9fajq5f1kzfwxbwl,Un poco adecuado,No,,Medianamente adecuado,No,,Medianamente inadecuado,Si,3,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Un poco adecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,
18,"",acepto participar,Nunca,Demasiado,Muy a menudo,Ocasionalmente,Nunca,Rara vez,A menudo,Un poco,Algo,Algo,Demasiado,Un poco,Ocasionalmente,Ocasionalmente,Muy a menudo,Demasiado,Demasiado,Muy a menudo,Rara vez,Nunca,eos76rvjecl16r6t6e29,Muy inadecuado,Si,2,Poco inadecuado,Si,1,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Un poco adecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,
